Date,Close
2008-06-11,6.4575
2008-06-12,6.187857
2008-06-13,6.156072
2008-06-16,6.315714
2008-06-17,6.479643
2008-06-18,6.383929
2008-06-19,6.460714
2008-06-20,6.259643
2008-06-23,6.184286
2008-06-24,6.1875
2008-06-25,6.335357
2008-06-26,6.009286
2008-06-27,6.074643
2008-06-30,5.98
2008-07-01,6.238572
2008-07-02,6.006429
2008-07-03,6.075714
2008-07-07,6.255714
2008-07-08,6.4125
2008-07-09,6.223214
2008-07-10,6.308214
2008-07-11,6.163571
2008-07-14,6.21
2008-07-15,6.058571
2008-07-16,6.171786
2008-07-17,6.136071
2008-07-18,5.898214
2008-07-21,5.938929
2008-07-22,5.786428
2008-07-23,5.937857
2008-07-24,5.679643
2008-07-25,5.79
2008-07-28,5.514286
2008-07-29,5.61
2008-07-30,5.71
2008-07-31,5.676786
2008-08-01,5.595
2008-08-04,5.4725
2008-08-05,5.737143
2008-08-06,5.863929
2008-08-07,5.841786
2008-08-08,6.055357
2008-08-11,6.198571
2008-08-12,6.311786
2008-08-13,6.403572
2008-08-14,6.404286
2008-08-15,6.276429
2008-08-18,6.263928
2008-08-19,6.1975
2008-08-20,6.28
2008-08-21,6.224643
2008-08-22,6.313929
2008-08-25,6.1625
2008-08-26,6.201428
2008-08-27,6.238214
2008-08-28,6.205
2008-08-29,6.054643
2008-09-02,5.935357
2008-09-03,5.962857
2008-09-04,5.757857
2008-09-05,5.720714
2008-09-08,5.64
2008-09-09,5.417143
2008-09-10,5.414643
2008-09-11,5.451786
2008-09-12,5.319286
2008-09-15,5.012857
2008-09-16,4.995714
2008-09-17,4.565357
2008-09-18,4.788929
2008-09-19,5.0325
2008-09-22,4.680357
2008-09-23,4.53
2008-09-24,4.596786
2008-09-25,4.711786
2008-09-26,4.58
2008-09-29,3.759286
2008-09-30,4.059286
2008-10-01,3.897143
2008-10-02,3.575
2008-10-03,3.466786
2008-10-06,3.505
2008-10-07,3.184286
2008-10-08,3.206786
2008-10-09,3.169286
2008-10-10,3.457143
2008-10-13,3.937857
2008-10-14,3.717143
2008-10-15,3.498214
2008-10-16,3.638929
2008-10-17,3.478571
